"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST /v1/sms/alert with revoked token should return 401 per spec.","63","Revoked token returns 401","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_revokedToken_returns401"
"Empty request body should return 400","90","Empty payload returns 400 or 403","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_emptyPayload_returns400"
"Missing ip parameter returns 400 or 403","134","ip-lookup missing ip param returns 400 or 403","","Thu Aug 20 16:36:14 UTC 2026","passed","Thu Aug 20 16:36:14 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","missingParam_returns400Or403"
"API silently caps days=17 at plan maximum and returns 200","338","days=17 is capped — returns 200","","Thu Aug 20 16:35:52 UTC 2026","passed","Thu Aug 20 16:35:52 UTC 2026","","Input Validation Tests","common.ValidationTests","overMaxDays_apiIsLenient"
"When 200, geo.timezone must be non-blank IANA timezone string","127","geo.timezone is non-blank on 200","","Thu Aug 20 16:36:13 UTC 2026","passed","Thu Aug 20 16:36:13 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","schema_geoTimezoneNonBlank"
"When 200/201, response must echo back lat and lon within 0.001°","76","Created webhook echoes lat and lon","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","schema_created_coordsEchoed"
"An unrecognised alertType value should return 400","60","Invalid alertType returns 400 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_invalidAlertType_returns400"
"When 200, response must contain a gateway object","12","gateway object is present on 200","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","schema_gateway_present"
"When 200 and list is non-empty, webhooks[0].active must be true or false","13","webhooks[0].active is a boolean on 200","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","schema_firstWebhook_activeIsBoolean"
"Omitting the required 'message' field should return 400","53","Missing 'message' returns 400 or 403","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_missingMessage_returns400"
"A well-formed request must not return a server error","61","Valid request does not return 5xx","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_no5xx"
"Omitting the lon parameter must return 400 Bad Request","256","Missing lon returns 400","","Thu Aug 20 16:35:51 UTC 2026","passed","Thu Aug 20 16:35:51 UTC 2026","","Input Validation Tests","common.ValidationTests","missingLon_returns400"
"POST /v1/webhooks response content-type must be application/json","61","Create webhook response is JSON","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","createWebhook_isJson"
"When 200, response must contain a message_counts object","12","message_counts object is present on 200","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","schema_messageCounts_present"
"POST /v1/sms/send without Scale plan returns 403. Note: API returns 404 on plan-gated endpoints (observed, not documented).","1063","Non-Scale plan: sms/send returns 403","","Thu Aug 20 16:35:43 UTC 2026","passed","Thu Aug 20 16:35:44 UTC 2026","","Authorization Tests","common.AuthorizationTests","smsSend_nonScaleReturns403"
"POST /v1/forestry/count-trees is a documented alias of /v1/trees/analyze","55","Legacy count-trees alias returns 200, 400 or 403","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Count Trees / Analyze Tests","forestry.CountTreesTests","countTreesAlias_returns200Or403"
"GET /v1/usage with a revoked API key must return 401","73","Revoked token returns 401","","Thu Aug 20 16:36:00 UTC 2026","passed","Thu Aug 20 16:36:00 UTC 2026","","Usage & Quota Tests","account.UsageTests","usage_revokedToken_returns401"
"GET /v1/trees/history returns 200 on Pro/Scale, 403 on Free","60","Tree history returns 200 or 403","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Tree Quota Tests","forestry.TreeQuotaTests","treeHistory_returns200Or403"
"401 response content-type must be application/json","79","401 response has JSON content type","","Thu Aug 20 16:35:48 UTC 2026","passed","Thu Aug 20 16:35:48 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","unauthorized_isJson"
"A well-formed request must not return a server error","58","Valid request does not return 5xx","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_no5xx"
"GET /v1/trees/quota with revoked token should return 401 per spec.","14","Tree quota with revoked token returns 401","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Tree Quota Tests","forestry.TreeQuotaTests","treeQuota_revokedToken_returns401"
"remaining must be a non-negative integer","238","remaining is a non-negative integer","","Thu Aug 20 16:35:59 UTC 2026","passed","Thu Aug 20 16:35:59 UTC 2026","","Usage & Quota Tests","account.UsageTests","schema_remaining_isNonNegative"
"alertType=drought returns 200/201 or 403","62","alertType=drought returns 200/201 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_drought_returns201Or403"
"plan must be one of: free, pro, scale","368","plan is a valid plan name","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","Usage & Quota Tests","account.UsageTests","schema_plan_isValidPlanName"
"Omitting the required 'phone' field should return 400","61","Missing 'phone' returns 400 or 403","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_missingPhone_returns400"
"When 200, ip field must be non-blank","124","ip field is non-blank on 200","","Thu Aug 20 16:36:13 UTC 2026","passed","Thu Aug 20 16:36:14 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","schema_ipNonBlank"
"geo.ip_version must be v4 or v6","368","geo.ip_version is v4 or v6","","Thu Aug 20 16:36:25 UTC 2026","passed","Thu Aug 20 16:36:26 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_ipVersionValid"
"401 response should contain an error message in the body","72","401 response includes error message","","Thu Aug 20 16:35:51 UTC 2026","passed","Thu Aug 20 16:35:51 UTC 2026","","Authentication Tests","common.AuthenticationTests","unauthorizedResponse_containsErrorMessage"
"interval must be 900s","244","[days=3] current.interval = 900","","Thu Aug 20 16:36:19 UTC 2026","passed","Thu Aug 20 16:36:19 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_current_intervalIs900"
"GET /v1/webhooks with revoked token should return 401 per spec.","17","List webhooks with revoked token returns 401","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","listWebhooks_revokedToken_returns401"
